交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%
2024/5/2,TXO,202405,15800,買權,-,-,-,-,0,4490,2,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,15800,賣權,1.8,1.8,1.8,1.8,21,1.8,2382,1.4,2.8,26.5,1,,一般,-1,-35.71%
2024/5/2,TXO,202405,15900,買權,-,-,-,-,0,4390,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,15900,賣權,-,-,-,-,0,1.9,9,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,16000,買權,-,-,-,-,0,4290,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,16000,賣權,-,-,-,-,0,2.1,232,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,16100,買權,-,-,-,-,0,4190,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,16100,賣權,-,-,-,-,0,2.3,13,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,16200,買權,-,-,-,-,0,4090,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,16200,賣權,-,-,-,-,0,2.5,46,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,16300,買權,-,-,-,-,0,3990,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,16300,賣權,-,-,-,-,0,2.7,46,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,16400,買權,-,-,-,-,0,3890,2,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,16400,賣權,2.8,2.9,2.8,2.9,4,2.9,62,1.2,12,15,1.1,,一般,-0.4,-12.12%
2024/5/2,TXO,202405,16500,買權,-,-,-,-,0,3790,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,16500,賣權,2.4,3.1,2.4,3.1,9,3.1,91,0.9,12,45,2.4,,一般,-0.2,-6.06%
2024/5/2,TXO,202405,16600,買權,-,-,-,-,0,3690,1,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,16600,賣權,-,-,-,-,0,3.4,79,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,16700,買權,-,-,-,-,0,3590,0,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,16700,賣權,3.5,3.7,3.5,3.7,22,3.7,83,0.9,12,48,2.3,,一般,0.2,5.71%
2024/5/2,TXO,202405,16800,買權,-,-,-,-,0,3490,1,-,-,-,-,,一般,-,-
2024/5/2,TXO,202405,16800,賣權,3.6,3.7,3.5,3.6,27,3.7,464,0.9,12,53,2.8,,一般,0,0.00%
2024/5/2,TXO,202405,16900,買權,-,-,-,-,0,3390,0,-,-,-,-,,一般,-,-
