Observation Date,Expiration Date,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile,T Return,T-1 Return,T-2 Return,T-3 Return,T-4 Return,Fear and Greed Index,VIX
2021-01-09,2021-01-10,34158.96451270847,6396.345240976499,1.111636471820274,-1.803187996315588,36963.1,39521.3,41043.100000000006,42372.100000000006,48366.2,-0.0495562435922021,0.0406016172561466,-0.004635215616035,-0.009480998907668,-0.0577797263454433,93,24.08
2021-01-10,2021-01-11,30818.18993333681,6676.852997208087,1.0728359639811291,-2.010379094722329,34343.0,36511.4,38161.5,39597.0,46908.5,-0.0746881986220901,-0.0495562435922021,0.0406016172561466,-0.004635215616035,-0.009480998907668,94,24.08
2021-01-11,2021-01-12,33270.61770293628,2029.2457861007956,2.722593539120136,3.215930652533758,29108.6,33663.3,34556.5,35564.0,37636.3,-0.0389716343884231,-0.0746881986220901,-0.0495562435922021,0.0406016172561466,-0.004635215616035,90,24.08
2021-01-12,2021-01-13,34360.20192767338,3428.0780831807037,0.49091672204729,1.824132822864665,28981.5,32066.7,34436.200000000004,36388.2,39777.0,0.093038721866485,-0.0389716343884231,-0.0746881986220901,-0.0495562435922021,0.0406016172561466,84,23.33
2021-01-13,2021-01-14,33817.111069122926,3461.598711338391,1.2478898357008374,-1.3252539052767818,34815.0,36330.8,37356.8,38500.5,40859.7,0.0463547564222311,0.093038721866485,-0.0389716343884231,-0.0746881986220901,-0.0495562435922021,78,22.21
2021-01-14,2021-01-15,38784.502845872055,2911.5639916005075,0.7365210048947246,2.173640576474181,34435.8,37051.7,38711.5,40485.9,43899.600000000006,-0.0633334246881056,0.0463547564222311,0.093038721866485,-0.0389716343884231,-0.0746881986220901,83,23.25
2021-01-15,2021-01-16,31384.46579061172,5650.546761421214,1.5811299168297652,0.4657887144983199,33339.4,34997.0,36364.1,37526.1,46798.9,-0.0205470182784362,-0.0633334246881056,0.0463547564222311,0.093038721866485,-0.0389716343884231,88,24.34
2021-01-16,2021-01-17,34649.01513935791,2510.6304570852303,2.1706959035999907,3.438065377034463,31766.6,35036.3,36070.2,37208.4,39685.9,-0.0046327480304883,-0.0205470182784362,-0.0633334246881056,0.0463547564222311,0.093038721866485,84,24.34
2021-01-17,2021-01-18,33431.16887921271,3025.410533526362,1.4021091654668425,0.5508452655474367,33185.8,34835.3,35791.1,36824.9,38870.8,0.0221555109664707,-0.0046327480304883,-0.0205470182784362,-0.0633334246881056,0.0463547564222311,79,24.34
2021-01-18,2021-01-19,34487.44718042653,2165.5798486279828,1.2320024476484064,-1.311479421079969,34089.6,35574.5,36466.5,37378.6,41183.4,-0.0204020271840596,0.0221555109664707,-0.0046327480304883,-0.0205470182784362,-0.0633334246881056,79,24.34
2021-01-19,2021-01-20,36641.87719277615,2238.196719202072,0.5327876839876771,1.9956724109555168,33342.700000000004,35292.700000000004,36454.2,37802.0,40614.2,-0.0118628538249533,-0.0204020271840596,0.0221555109664707,-0.0046327480304883,-0.0205470182784362,80,23.24
2021-01-20,2021-01-21,34864.87721589202,1416.8832187716962,0.1815507839759654,0.7788975985518829,32698.4,34197.6,35094.0,35965.6,37385.5,-0.1394964019344246,-0.0118628538249533,-0.0204020271840596,0.0221555109664707,-0.0046327480304883,78,21.58
2021-01-21,2021-01-22,31354.940581941173,3183.769935311784,-1.3417454470338563,5.094860961391273,25844.0,29927.4,31722.0,33316.6,35669.4,0.0657037001868836,-0.1394964019344246,-0.0118628538249533,-0.0204020271840596,0.0221555109664707,75,21.32
2021-01-22,2021-01-23,29924.392222844624,3294.008124961846,1.1964808474087905,-1.5165558599550528,27206.800000000003,32445.2,33291.200000000004,34091.4,35784.3,-0.0266742275526273,0.0657037001868836,-0.1394964019344246,-0.0118628538249533,-0.0204020271840596,40,21.91
2021-01-23,2021-01-24,32080.736449382624,2262.869088278125,1.1438182927021223,13.459489833462364,28784.6,31183.1,32134.1,32966.700000000004,34627.700000000004,0.0056545359630609,-0.0266742275526273,0.0657037001868836,-0.1394964019344246,-0.0118628538249533,74,21.91
2021-01-24,2021-01-25,31149.06821026124,2182.701129296687,2.6550650164740097,6.031164120685864,28560.1,31558.2,32266.300000000003,33123.0,35997.1,-0.0001767055578496,0.0056545359630609,-0.0266742275526273,0.0657037001868836,-0.1394964019344246,70,21.91
2021-01-25,2021-01-26,31539.25793858716,2234.844000040684,2.036880981958888,1.9458467407814688,29605.7,31993.6,32693.0,33587.0,36680.3,0.0065996376554488,-0.0001767055578496,0.0056545359630609,-0.0266742275526273,0.0657037001868836,74,23.19
2021-01-26,2021-01-27,32989.88953143417,2133.862462654452,4.147748316548448,30.06573833603932,30914.7,31961.300000000003,32656.6,33443.4,35939.9,-0.0669194037928207,0.0065996376554488,-0.0001767055578496,0.0056545359630609,-0.0266742275526273,71,23.02
2021-01-27,2021-01-28,29764.19336921917,3717.133275804461,-2.128193691350132,7.380097834700351,27000.0,29187.9,30528.9,31735.800000000003,33805.700000000004,0.094174749149954,-0.0669194037928207,0.0065996376554488,-0.0001767055578496,0.0056545359630609,78,37.21
2021-01-28,2021-01-29,32925.20257091362,2196.9090334172183,0.4305983946222655,1.2134589808987215,29592.1,31528.800000000003,32828.700000000004,34210.4,36716.8,0.0262475458890089,0.094174749149954,-0.0669194037928207,0.0065996376554488,-0.0001767055578496,55,30.21
2021-01-29,2021-01-30,33835.051996212926,1824.7635923721416,1.5532177877013509,4.3516750287489225,31485.9,32875.3,33859.8,34955.5,37270.1,0.0003117561881706,0.0262475458890089,0.094174749149954,-0.0669194037928207,0.0065996376554488,77,33.09
