,一個點,,,,兩個點,,,
日期,平均值 Mean,標準差 Std,偏度 Skewness,峰度 Kurtosis,平均值 Mean2,標準差 Std3,偏度 Skewness4,峰度 Kurtosis5
2022/4/1,46053.2191,14028.04,0.5105,1.4451,45700.7651,13689.0432,0.4153,1.0251
2022/4/2,45744.5725,13935.8949,0.5964,1.7563,45349.7676,13580.4499,0.496,1.2961
2022/4/3,46196.7583,14010.7103,0.5076,1.7261,45653.3387,13451.04,0.327,1.0329
2022/4/4,46469.9821,13649.8796,0.4761,1.3391,46188.7046,13375.7794,0.3919,0.9488
2022/4/5,45439.8581,14172.0093,0.4486,1.3676,45047.6333,13852.0113,0.3774,1.0419
2022/4/6,43057.654,14521.435,0.4989,1.3829,42081.9998,13660.1422,0.3044,0.6736
2022/4/7,43340.3717,13656.3987,0.4952,1.2611,43165.0351,13500.4851,0.4553,1.0624
2022/4/8,42108.4957,13310.7764,0.4099,1.2668,42018.3798,13248.8059,0.3959,1.1723
2022/4/9,42588.0029,12773.2368,0.4037,1.0607,42522.7066,12741.2249,0.4029,1.0131
2022/4/10,42010.6353,12719.3944,0.3738,1.3501,41757.2895,12476.0422,0.2853,0.9738
2022/4/11,39328.7282,12077.7095,0.3381,1.1571,39204.7006,11991.2972,0.3182,1.0292
2022/4/12,39972.1865,11523.8525,0.5097,1.2841,39864.4634,11414.5348,0.4651,1.0491
2022/4/13,40949.2828,11761.6524,0.3532,1.1339,40942.3744,11795.8713,0.3816,1.215
2022/4/14,39816.6316,11392.7541,0.339,1.3359,39811.4369,11426.3515,0.3673,1.4152
2022/4/15,40428.7359,11046.5033,0.3805,1.0913,40361.6425,10995.1319,0.3604,0.9484
2022/4/16,40291.8793,10946.7606,0.3494,1.1749,40054.491,10711.6574,0.2482,0.7214
2022/4/17,39517.3381,11345.0899,0.2859,1.4169,39507.7303,11362.1934,0.3014,1.4425
2022/4/18,40749.8382,10782.7071,0.1627,1.0587,40754.7586,10808.2666,0.1826,1.1161
2022/4/19,41362.2438,10770.944,0.1517,1.082,41366.6571,10798.9386,0.1736,1.1406
2022/4/20,41473.702,10471.4808,0.1874,1.1378,41479.8027,10504.5335,0.2139,1.2139
