日期,平均值 Mean,標準差 Std,偏度 Skewness,峰度 Kurtosis
2022/10/9,19331.5687,6007.285,0.3219,1.1276
2022/10/10,19072.3067,6022.7289,0.3793,1.1216
2022/10/11,18905.6863,5941.8823,0.2402,0.9106
2022/10/12,19072.3295,5934.1746,0.3767,1.1322
2022/10/13,19233.9824,5655.8498,0.3388,1.1331
2022/10/14,19148.0065,5430.7921,0.2933,1.2899
2022/10/15,19061.9506,5392.3899,0.3022,1.3025
2022/10/16,19190.1299,5302.4337,0.2164,1.1353
2022/10/17,19496.8252,5249.7854,0.2356,1.2205
2022/10/18,19282.0717,5184.7128,0.2322,1.2737
2022/10/19,19085.3184,5090.4692,0.1275,1.2428
2022/10/20,18967.1091,5115.4373,0.1032,1.3066
2022/10/21,19162.4987,5003.538,0.2589,1.3628
2022/10/22,19169.9891,5033.7344,0.124,1.1679
2022/10/23,19490.7121,5085.4907,0.1322,1.1785
2022/10/24,19284.7307,5094.2374,0.149,1.3074
2022/10/25,20064.6877,5489.5933,0.1945,1.239
2022/10/26,20754.3854,5498.04,0.2974,1.5004
2022/10/27,20287.2755,5253.6415,0.2243,1.544
2022/10/28,20586.6248,4865.7766,0.3064,1.5997
2022/10/29,20807.1886,5014.7465,0.3545,1.5258
2022/10/30,20607.7642,5128.2451,0.4246,1.6296
2022/10/31,20482.2701,4879.7955,0.5555,1.891
2022/11/1,20477.3926,4827.5768,0.4415,1.7525
2022/11/2,20135.0112,4478.6152,0.2507,1.4771
2022/11/3,20211.1476,4273.8572,0.0676,1.511
2022/11/4,21124.7491,4494.1461,0.3237,1.5622
2022/11/5,21285.1409,4477.8679,0.2277,1.6754
2022/11/6,20987.6263,4567.2965,-0.0182,1.7307
2022/11/7,20600.408,4428.6866,0.2443,1.6105
2022/11/8,18504.633,4709.7332,0.0696,1.1484
2022/11/9,15757.0518,4974.7429,0.2179,0.7376
2022/11/10,17476.216,4889.968,-0.0474,0.857
2022/11/11,16829.3292,4718.8963,0.1993,0.8286
2022/11/12,16684.6079,4716.1013,-0.0976,1.0136
2022/11/13,16200.1233,4614.1907,-0.2506,1.0243
2022/11/14,16502.1154,4243.7567,0.1647,0.9179
2022/11/15,16757.6863,4267.5451,0.0304,0.9835
2022/11/16,16571.1749,4434.8126,0.0259,0.9621
2022/11/17,16590.1827,3976.3806,0.0009,1.1237
2022/11/18,16587.8804,3895.6102,-0.0492,1.105
2022/11/19,16635.4599,3617.1598,-0.2465,1.2721
2022/11/20,16164.9725,3871.3719,-0.5419,1.4539
2022/11/21,15695.7046,3778.3867,-0.2031,1.1677
2022/11/22,16093.4612,3705.325,-0.1355,1.1899
2022/11/23,16504.0509,3566.5965,-0.1823,1.1281
2022/11/24,16549.4103,3454.4995,-0.1342,1.3008
2022/11/25,16498.2895,3131.4432,-0.0165,1.3151
2022/11/26,16434.5577,3046.335,-0.2024,1.5107
2022/11/27,16426.2729,3150.5456,-0.4578,1.8886
2022/11/28,16193.6872,2908.7066,-0.2193,1.5003
2022/11/29,16430.5776,2837.0864,-0.2537,1.5723
2022/11/30,17147.1467,2916.1724,-0.1591,1.3475
2022/12/1,16961.6261,2669.4581,-0.4303,1.6223
2022/12/2,17038.2345,2488.0915,-0.0923,1.1813
2022/12/3,16911.8074,2373.1424,-0.2369,1.3958
2022/12/4,17107.0189,2397.9076,-0.1945,1.6307
2022/12/5,16964.5036,2331.0759,-0.3109,1.7907
2022/12/6,17051.7764,2340.0258,-0.2072,1.3257
2022/12/7,16813.4372,2404.7605,-0.2431,1.3063
2022/12/8,17190.1906,2103.3648,-0.4771,1.909
2022/12/9,17103.9781,2220.9449,-0.1989,1.4919
2022/12/10,17060.7446,2099.7251,-0.5054,1.7807
2022/12/11,17100.9418,2323.2491,-0.0027,1.2896
