,兩個點,,,,一個點,,,
日期,平均值 Mean,標準差 Std,偏度 Skewness,峰度 Kurtosis,平均值 Mean2,標準差 Std3,偏度 Skewness4,峰度 Kurtosis5
2022/10/9,19267.6949,5949.4323,0.3355,1.0858,19309.5061,5980.0279,0.3525,1.19
2022/10/10,18877.3744,5831.9701,0.2797,0.7068,19055.6878,6006.078,0.3982,1.1689
2022/10/11,18569.8987,5671.7183,0.1249,0.3663,18929.0041,5941.461,0.2419,0.8419
2022/10/12,18879.9653,5761.5556,0.268,0.7064,19068.518,5934.2376,0.3767,1.1423
2022/10/13,19089.7693,5518.2232,0.2573,0.7171,19242.3201,5651.4657,0.3447,1.1052
2022/10/14,19098.5733,5406.6469,0.3357,1.3995,19113.599,5405.3356,0.3244,1.405
2022/10/15,19023.6562,5395.1617,0.3376,1.4347,19038.4929,5384.9792,0.3102,1.3848
2022/10/16,19182.1912,5314.7813,0.2405,1.1811,19189.7231,5302.8268,0.2159,1.1367
2022/10/17,19476.8942,5260.9837,0.2434,1.2659,19487.3837,5254.9002,0.2276,1.2605
2022/10/18,19259.4491,5204.1594,0.2529,1.3906,19266.9099,5189.7604,0.2236,1.3369
2022/10/19,19060.3839,5103.3665,0.1603,1.4018,19061.6753,5086.4764,0.1299,1.3372
2022/10/20,18838.5155,5029.0942,0.0468,1.093,18946.4935,5109.1764,0.1092,1.3843
2022/10/21,19151.783,5028.6193,0.2781,1.4628,19155.1232,5011.9386,0.2466,1.394
2022/10/22,19152.2779,5048.6855,0.133,1.2705,19153.6261,5038.4896,0.1151,1.2417
2022/10/23,19482.8354,5101.1184,0.1492,1.233,19486.2967,5089.0056,0.1269,1.1995
2022/10/24,19200.7084,5050.1569,0.1063,1.1785,19264.1737,5095.8173,0.1442,1.3939
2022/10/25,20044.4445,5511.6663,0.2484,1.483,20038.346,5482.1423,0.2014,1.332
2022/10/26,20735.1864,5555.6369,0.3535,1.8014,20735.3193,5511.7623,0.2782,1.5716
2022/10/27,20228.8756,5239.9479,0.3732,2.0239,20220.9695,5196.5725,0.2993,1.7763
2022/10/28,20573.906,4934.6421,0.329,1.9734,20565.2143,4894.5715,0.2572,1.732
2022/10/29,20799.2321,5064.8166,0.3742,1.7668,20794.2839,5034.4547,0.3223,1.6003
2022/10/30,20595.9966,5187.5634,0.4538,1.9264,20591.4182,5150.0262,0.3897,1.7106
2022/10/31,20468.2873,4909.2306,0.588,2.0138,20478.4552,4887.1332,0.5426,1.9119
2022/11/1,20475.6675,4897.4151,0.4974,2.1557,20465.9882,4847.357,0.4071,1.8207
2022/11/2,20136.9566,4525.0697,0.2884,1.7738,20127.8078,4492.6152,0.2248,1.5386
2022/11/3,20173.5045,4310.81,-0.0154,1.6613,20186.6746,4314.3254,-0.0113,1.7585
2022/11/4,21114.6411,4511.1018,0.3278,1.5735,21121.4556,4501.605,0.3096,1.5928
2022/11/5,21257.3233,4537.3913,0.1826,1.9106,21262.9597,4520.059,0.1475,1.8841
2022/11/6,20872.1572,4523.0532,0.0238,2.123,20888.1397,4526.7327,0.0276,2.2298
2022/11/7,20579.6521,4476.4132,0.2024,1.7929,20581.9048,4463.4202,0.1782,1.7781
2022/11/8,18496.5332,4732.8268,0.0865,1.2978,18492.6047,4716.6973,0.0571,1.2141
2022/11/9,15765.5444,4983.5714,0.2229,0.7071,15771.8425,4980.4055,0.2119,0.6859
2022/11/10,17484.9088,4893.4581,-0.0486,0.775,17490.0373,4893.8952,-0.0495,0.7983
2022/11/11,16845.6953,4701.2848,0.2473,0.7695,16847.4165,4695.0909,0.2348,0.7424
2022/11/12,16675.1068,4720.7746,-0.0861,1.0688,16674.8133,4714.9195,-0.0969,1.05
2022/11/13,16213.7684,4671.4536,-0.3244,0.9514,16219.8181,4675.2952,-0.3189,0.9864
2022/11/14,16519.6989,4227.9464,0.2307,0.887,16517.198,4217.2892,0.2098,0.8187
2022/11/15,16767.4529,4265.7221,0.0634,0.966,16765.8897,4257.6856,0.0477,0.9271
2022/11/16,16575.8159,4443.2687,0.0449,0.9905,16574.0806,4434.1769,0.0276,0.946
2022/11/17,16589.3579,3974.6514,0.0157,1.0722,16593.3107,3971.9524,0.0095,1.0968
2022/11/18,16589.3545,3904.0666,-0.0348,1.1566,16587.1748,3896.5898,-0.0512,1.1118
2022/11/19,16635.5994,3618.4448,-0.2398,1.2442,16636.3179,3616.3364,-0.2439,1.2577
2022/11/20,16188.4285,3883.5873,-0.5495,1.2591,16190.0173,3884.7832,-0.5465,1.2779
2022/11/21,15691.6096,3786.5887,-0.2039,1.2105,15691.07,3782.923,-0.2117,1.2028
2022/11/22,16089.3272,3717.7202,-0.1375,1.2733,16087.7868,3712.2415,-0.15,1.2454
2022/11/23,16510.1803,3555.6831,-0.1556,1.0504,16510.0171,3554.9986,-0.1574,1.046
2022/11/24,16543.9864,3472.5861,-0.149,1.4146,16542.8358,3466.7822,-0.1626,1.3969
2022/11/25,16499.8114,3141.5862,-0.0012,1.4065,16497.354,3133.8608,-0.0232,1.3358
2022/11/26,16422.6084,3078.6382,-0.2668,1.7798,16422.3511,3074.2915,-0.2782,1.7807
2022/11/27,16382.7289,3193.4304,-0.5652,2.5336,16382.5163,3190.657,-0.5724,2.5402
2022/11/28,16187.164,2932.8412,-0.2577,1.7047,16186.2273,2927.4793,-0.2729,1.6912
2022/11/29,16422.0511,2865.7653,-0.3148,1.8515,16421.1568,2861.7503,-0.3265,1.8411
2022/11/30,17147.8574,2920.6292,-0.1521,1.3895,17146.7765,2917.2819,-0.1625,1.3596
2022/12/1,16950.943,2699.8351,-0.5241,2.0238,16951.155,2699.6866,-0.525,2.0228
2022/12/2,17041.9502,2479.6457,-0.0477,1.087,17041.839,2477.4346,-0.0563,1.0633
2022/12/3,16908.1362,2382.939,-0.2629,1.53,16909.0267,2381.886,-0.2688,1.5186
2022/12/4,17104.7178,2416.3878,-0.2216,1.8616,17102.93,2410.8327,-0.2424,1.8114
2022/12/5,16954.6691,2371.0657,-0.4328,2.4019,16953.3221,2367.0347,-0.4489,2.3709
2022/12/6,17054.2652,2333.9378,-0.1785,1.2454,17054.0372,2333.0988,-0.1821,1.2347
2022/12/7,16812.1896,2408.7403,-0.2532,1.3586,16812.3419,2408.2333,-0.2555,1.3543
2022/12/8,17178.1274,2144.5929,-0.6559,2.7612,17178.1465,2144.8548,-0.6546,2.7626
2022/12/9,17103.2627,2226.8506,-0.208,1.5726,17102.7012,2225.061,-0.2153,1.554
2022/12/10,17050.3475,2147.1838,-0.715,2.7825,17046.9458,2147.3929,-0.7082,2.7859
2022/12/11,17100.1184,2331.8835,-0.0073,1.3954,17099.337,2328.2144,-0.0217,1.3531
